<<<<<<< HEAD
id,category,name,description,level,video_link
11,1,Chiffonade,"To create ribbons of greens.  Stack leafy vegetables such as spinach or kale or fresh herbs on top of each other, roll them up and cut across the roll into thin slices to form strips of the greens.",2,http://www.youtube.com/embed/PXHy3yiIIhs
12,1,Slow cook,Also known as Crock Pot cooking.  This 1 allows you to set it in the morning and come home to delicious and tender stews and soups.   ,3,
13,1,MierPoix,"This is the basis of all French cooking and you will often see the term in cook books.  It is simply finely chopped of equal parts  celery, onions and carrots. ",4,
14,1,Torch,"To glaze the top of cooked dishes. This 1 is used mainly with Creme Brulee, Flan, or Bread Pudding.   When torching,  you sprinkle the dish with granulated sugar and then use a food safe small kitchen torch to caramelize the sugar.  If you have a weak smoke detector, you can also place Bell Peppers on a cookie sheet and torch them instead of using your oven to roast them.  ",4,
15,2,Melon,"Look for symmetrical unblemished melons, without flat sides, that have a lighter spot on the bottom indicating that it sat on the ground and was allowed to ripen.  With cantaloupe you want to choose melons that have a smooth stem end.  The stem end should have a little give when you push.  Smell the melon, it should not have too strong an aroma which indicates over-ripeness. The fruit should feel heavy for its size.  Precut melon flesh should be dense, firm and appear moist.  ",1,
16,1,Steam,To cook food suspended over boiling water so it is cooked by the steam.  You will need a pot with fitted steamer and a lid.,3,
17,1,Fry,To cook in oil or butter over medium high heat,3,
18,1,Poach,To cook in or above boiling water. ,3,
19,1,Deep Fry,"To immerse and cook food fully in hot fat.  Before deep frying, many items are first dredged in egg and bread crumbs, corn starch or flour to add a golden crust and stop them from falling apart in the oil. Examples of crusted items are fried chicken and everything you have seen at a State Fair.  ",4,
20,1,Stir Fry,"To stir food in a pan and quickly fry over a medium high heat. Vegetables and meat are cut into small equal sized pieces for this 1 so they can move around the pan and be cooked on all surfaces.  Typically, the last step of stir frying is to add a thick sauce that can coat the items in the dish.  A wok's conical bottom paired with a flame concentrates the heat to flash fry the food near the bottom.  Without a wok, one can stirfry with a sautee pan for a slightly different taste.  ",2,http://www.youtube.com/embed/cV6azu_3MuQ
21,1,Debone,To take out the bones.,3,
22,1,Seed,To scoop the seeds out of a vegetable.  ,1,
23,1,Simmer,To cook just below a boil.  The liquid should have a small bubbles that mainly do not break the surface.,1,
24,1,Rub,A dry flavor mix rubbed on food before cooking. Typically BBQ items and chichen have dry spice rubs on them.,2,
25,3,Collander,A tool that looks like a bowl someone drilled holes in.  A collander is used to drain foods like cooked pasta or washed greens.  It is placed in a sink and food is poured into it allowing the liquid to pass through the holes. ,1,
26,1,Microwave,A way to cook food in a machine that causes water molecules to vibrate. Most items can be cooked more quickly in a microwave oven than a coventional oven.,2,
27,2,Garlic,Choose garlic that do not have visible blemishes.  The garlic should be firm when pressed.  Roots on the garlic indicate that it comes from within the country.,1,http://www.youtube.com/embed/NBscq6u7Hmo
28,2,Onion,Choose the onion called for in your recipe. If you are using it raw in a sandwich or salad purchase a purple/red onion. ,1,http://www.youtube.com/embed/R_HFhLoTXjI
29,,Bell Peppers,Chose a Bell Pepper with no soft spots that feels heavy for its size.  All Bell Peppers are mild in terms of spiciness and are sometimes called Sweet Peppers. The red bell is the sweetest while the green is the sharpest. ,1,http://www.youtube.com/embed/pXJc_IIXim4
30,3,Measuring Solids,"For accurate measurements, be sure to use another utensil to scoop the solids into your measuring cup, then level off with a knife.  For brown sugar, compact the sugar in order to ensure accurate measurement",1,http://www.youtube.com/embed/yn5X910kTV8
31,1,Sharpening Knives,Keep your knives sharp to prevent injuries.  Simply run the blade of the knife across a honing stone.,1,http://www.youtube.com/embed/DHF5DlLQ9CA
32,2,Broccoli,"Look For heads of Broccoli that are tight, dark green and have flowers that have not opened. Both the florets and stems are edible. ",1,http://www.youtube.com/embed/IfKYWC1Aq_w
33,3,Choosing a Knife,"To Chose a knife, simply find one that feels good in your hand.  You do not need to buy a fancy knife, but also should not pick up a poor quality supermarket knife. Plan to spend at least $40 on a chefs knife. You only need three knives in your kitchen: a chefs knife, a shorter straight bladed knife for smaller items and a serrated knife.  ",1,http://www.youtube.com/embed/nfUfZukHrRQ
34,3,Wash,To clean with water and remove whatever was on the surface of your food.,1,
35,1,Bake,To cook food using dry heat.,2,
36,1,Saute,To cook on oil or butter over medium high heat. This 1 is different from stir frying as you want your items to brown when you saute and you stir them as little as possible to achieve the browning.,2,http://www.youtube.com/embed/cV6azu_3MuQ
37,1,Stew,To cover a food in liquid and cook at a  low temperature in a  pot with a lid. ,,
38,1,Mince,To finely cut vegetables.,1,http://www.youtube.com/embed/zX5iFP2zX-0
39,1,Boil,To heat water to boiling point.  Large bubbles will rise from the bottom of your pot to burst through the surface.,1,
40,1,Chill,To lower the temperature of an item.,2,
41,1,Marinade,"To place food in a liquid that adds flavor prior to cooking. For meat, marinading adds flavor and tenderizes.",2,
42,1,Freeze,To preserve food by lowering the temperature to cause it to beconme solid. Note: Most fully cooked foods can be safely frozen if you get all the air out of the package.  Raw  2s or partially cooked items will freeze less well. ,2,
43,1,Sear,To quickly brown the outside of a food  over high heat. ,2,
44,1,Whisk,To rapidly strir together 2s. Whisk also refers to a tool that is loops of stiff wire on a short handle used to.. well… whisk food.,2,
45,1,Peel,To remove the skin. ,1,
46,1,De-vein,To remove veins from meats. This is a 1 that is typically used with shrimp.,4,
47,1,Zest,"To scrape off the peel of citrus fruits. Zest adds a extra zing of flavor to recipes and can be used in a wide range of recipes from muffins to  pastas, salad dressings, rice and stirfry dishes.   ",1,http://www.youtube.com/embed/qmY_RCBAxok
48,2,Tomato,"When choosing ask your grocer or local farmer which variety is in season.  If it is not tomato season do not pay a fortune for a tasteless tomato. Most recipes, except salads,  can use canned roasted or reconstituted dried.  ",1,http://www.youtube.com/embed/Sfe1xqqiOZk
=======
id,category,name,description,level,video_link
1,1,Pressure Cook,"A pressure cooker is a great tool and 1 to use if you want to save time. You can make brown rice and baked potatoes in 10 minutes, and green beans in about 3 minutes.  It can also reduce braised meat cooking time by a third while maintaining the same quality of flavor and tenderness.  Pressure cookers look like a pot with a cone shaped lid and a steam vent.  There are electric and stove top varieties. Cook with a smaller amount of water or stock than usual because almost all of the moisture is retained.  Each pot is individual and will take some getting used to, but they are a great investment.  ",3,
2,1,Reduce,"A method used to intensify flavors in sauces. Boil liquids until the volume lessons, or reduces, due to evaportion",3,
3,1,Roux,"A Roux is made from equal parts fat and flour. The fat is heated and then the flour is slowly stirred in until it is cooked. A roux is a base used to thicken sauces, chowders and other dishes. You have eaten one if you have had  Macaroni and Cheese in a restaurant.     ",4,
4,1,Blanch,"To quickly cook vegetables in rapidly boiling water.  This 1 allows vegetables to keep their color while cooking and pre-cooks your vegetables for fasting cooking later.  It can also make it easier to peel certain produce. First cut your vegetables to the size you want and then add them slowly to rapidly boiling water making sure it stays boiling.  You only want to cook them until they are slightly tender, then remove allow them to cool. Typically after taking the vegetables from the water they are plunged into an ice bath to quickly cool them and stop the cooking process. You can also allow them cool naturally and then store them in your refrigerator until you are ready to use them in a recipe.   ",1,http://www.youtube.com/embed/LaEz_3od0Aw
5,1,Mandolin,"A type of slicer that can be used instead of a knife to create even cuts for vegetables.  Vegetables are sliced using a back-and-forth motion across the mandolin.  Mandolins come with different size and cut settings, allowing such cuts as slices, fries and julienne.  ",4,
6,1,Handling Chili Peppers ,"Be careful when handling peppers. Always scoop out the seeds, the part with the most heat, before chopping.  Always thoroughly wash your hands and cutting board after handling peppers.  You can injure yourself if you rub your eyes after cutting hot peppers.  With very hot varieties I recommend wearing a latex glove while handling them.  Note: The seeds and surrounding membrane are the spiciest part of the chile pepper. To increase the heat of the salsa, use some or all of the seeds, depending on your preference, along with the flesh of the pepper.  Bell Peppers are mild to sweet pepper and do not need to be handled as carefully",1,
7,1,Julienne,To cut into strips.,2,
8,1,Dice,To cut vegetables into cubes of 1/2 inch by 1/2 inch,1,
9,1,Wrap - cooked,To wrap food in leaves or similar.  Examples of wrapping are European Dolmahs that wrap filling in cabbage leaves or Greek Dolmahs that wrap lamb and rice in grape leaves. ,4,
10,1,Hand Blend,"To blend directly in the pot or glass using a hand blender, also known as a  wand or immersion blender.  Submerge the blender in a pan or pot of sauteed vegetables and quickly turn them to soup.  Or directly blend a glass of frozen berries, flax seed, soy milk and bananas to into a smoothie.  ",3,
11,1,Chiffonade,"To create ribbons of greens.  Stack leafy vegetables such as spinach or kale or fresh herbs on top of each other, roll them up and cut across the roll into thin slices to form strips of the greens.",2,http://www.youtube.com/embed/PXHy3yiIIhs
12,1,Slow cook,Also known as Crock Pot cooking.  This 1 allows you to set it in the morning and come home to delicious and tender stews and soups.   ,3,
13,1,MierPoix,"This is the basis of all French cooking and you will often see the term in cook books.  It is simply finely chopped of equal parts  celery, onions and carrots. ",4,
14,1,Torch,"To glaze the top of cooked dishes. This 1 is used mainly with Creme Brulee, Flan, or Bread Pudding.   When torching,  you sprinkle the dish with granulated sugar and then use a food safe small kitchen torch to caramelize the sugar.  If you have a weak smoke detector, you can also place Bell Peppers on a cookie sheet and torch them instead of using your oven to roast them.  ",4,
15,2,Melon,"Look for symmetrical unblemished melons, without flat sides, that have a lighter spot on the bottom indicating that it sat on the ground and was allowed to ripen.  With cantaloupe you want to choose melons that have a smooth stem end.  The stem end should have a little give when you push.  Smell the melon, it should not have too strong an aroma which indicates over-ripeness. The fruit should feel heavy for its size.  Precut melon flesh should be dense, firm and appear moist.  ",1,
16,1,Steam,To cook food suspended over boiling water so it is cooked by the steam.  You will need a pot with fitted steamer and a lid.,3,
17,1,Fry,To cook in oil or butter over medium high heat,3,
18,1,Poach,To cook in or above boiling water. ,3,
19,1,Deep Fry,"To immerse and cook food fully in hot fat.  Before deep frying, many items are first dredged in egg and bread crumbs, corn starch or flour to add a golden crust and stop them from falling apart in the oil. Examples of crusted items are fried chicken and everything you have seen at a State Fair.  ",4,
20,1,Stir Fry,"To stir food in a pan and quickly fry over a medium high heat. Vegetables and meat are cut into small equal sized pieces for this 1 so they can move around the pan and be cooked on all surfaces.  Typically, the last step of stir frying is to add a thick sauce that can coat the items in the dish.  A wok's conical bottom paired with a flame concentrates the heat to flash fry the food near the bottom.  Without a wok, one can stirfry with a sautee pan for a slightly different taste.  ",2,http://www.youtube.com/embed/cV6azu_3MuQ
21,1,Debone,To take out the bones.,3,
22,1,Seed,To scoop the seeds out of a vegetable.  ,1,
23,1,Simmer,To cook just below a boil.  The liquid should have a small bubbles that mainly do not break the surface.,1,
24,1,Rub,A dry flavor mix rubbed on food before cooking. Typically BBQ items and chichen have dry spice rubs on them.,2,
25,3,Collander,A tool that looks like a bowl someone drilled holes in.  A collander is used to drain foods like cooked pasta or washed greens.  It is placed in a sink and food is poured into it allowing the liquid to pass through the holes. ,1,
26,1,Microwave,A way to cook food in a machine that causes water molecules to vibrate. Most items can be cooked more quickly in a microwave oven than a coventional oven.,2,
27,2,Garlic,Choose garlic that do not have visible blemishes.  The garlic should be firm when pressed.  Roots on the garlic indicate that it comes from within the country.,1,http://www.youtube.com/embed/NBscq6u7Hmo
28,2,Onion,Choose the onion called for in your recipe. If you are using it raw in a sandwich or salad purchase a purple/red onion. ,1,http://www.youtube.com/embed/R_HFhLoTXjI
29,,Bell Peppers,Chose a Bell Pepper with no soft spots that feels heavy for its size.  All Bell Peppers are mild in terms of spiciness and are sometimes called Sweet Peppers. The red bell is the sweetest while the green is the sharpest. ,1,http://www.youtube.com/embed/pXJc_IIXim4
30,3,Measuring Solids,"For accurate measurements, be sure to use another utensil to scoop the solids into your measuring cup, then level off with a knife.  For brown sugar, compact the sugar in order to ensure accurate measurement",1,http://www.youtube.com/embed/yn5X910kTV8
31,1,Sharpening Knives,Keep your knives sharp to prevent injuries.  Simply run the blade of the knife across a honing stone.,1,http://www.youtube.com/embed/DHF5DlLQ9CA
32,2,Broccoli,"Look For heads of Broccoli that are tight, dark green and have flowers that have not opened. Both the florets and stems are edible. ",1,http://www.youtube.com/embed/IfKYWC1Aq_w
33,3,Choosing a Knife,"To Chose a knife, simply find one that feels good in your hand.  You do not need to buy a fancy knife, but also should not pick up a poor quality supermarket knife. Plan to spend at least $40 on a chefs knife. You only need three knives in your kitchen: a chefs knife, a shorter straight bladed knife for smaller items and a serrated knife.  ",1,http://www.youtube.com/embed/nfUfZukHrRQ
34,3,Wash,To clean with water and remove whatever was on the surface of your food.,1,
35,1,Bake,To cook food using dry heat.,2,
36,1,Saute,To cook on oil or butter over medium high heat. This 1 is different from stir frying as you want your items to brown when you saute and you stir them as little as possible to achieve the browning.,2,http://www.youtube.com/embed/cV6azu_3MuQ
37,1,Stew,To cover a food in liquid and cook at a  low temperature in a  pot with a lid. ,,
38,1,Mince,To finely cut vegetables.,1,http://www.youtube.com/embed/zX5iFP2zX-0
39,1,Boil,To heat water to boiling point.  Large bubbles will rise from the bottom of your pot to burst through the surface.,1,
40,1,Chill,To lower the temperature of an item.,2,
41,1,Marinade,"To place food in a liquid that adds flavor prior to cooking. For meat, marinading adds flavor and tenderizes.",2,
42,1,Freeze,To preserve food by lowering the temperature to cause it to beconme solid. Note: Most fully cooked foods can be safely frozen if you get all the air out of the package.  Raw  2s or partially cooked items will freeze less well. ,2,
43,1,Sear,To quickly brown the outside of a food  over high heat. ,2,
44,1,Whisk,To rapidly strir together 2s. Whisk also refers to a tool that is loops of stiff wire on a short handle used to.. well… whisk food.,2,
45,1,Peel,To remove the skin. ,1,
46,1,De-vein,To remove veins from meats. This is a 1 that is typically used with shrimp.,4,
47,1,Zest,"To scrape off the peel of citrus fruits. Zest adds a extra zing of flavor to recipes and can be used in a wide range of recipes from muffins to  pastas, salad dressings, rice and stirfry dishes.   ",1,http://www.youtube.com/embed/qmY_RCBAxok
48,2,Tomato,"When choosing ask your grocer or local farmer which variety is in season.  If it is not tomato season do not pay a fortune for a tasteless tomato. Most recipes, except salads,  can use canned roasted or reconstituted dried.  ",1,http://www.youtube.com/embed/Sfe1xqqiOZk
>>>>>>> a88ff639b719e97580adba500184b902cfdedf7a
